Repetição,Cenário,Método,Data,Real,Estimado
1,Bloco 6 meses,Harmônica + resíduo,2020-07-01,682.4,672.5819980343939
1,Bloco 6 meses,Harmônica + resíduo,2020-08-01,729.4,711.0801333253002
2,Aleatório 10%,Média global,2015-08-01,512.4,568.9762499999999
2,Aleatório 10%,Média global,2016-08-01,563.1,568.9762499999999
2,Aleatório 10%,Média global,2018-08-01,652.1,568.9762499999999
2,Aleatório 10%,Média global,2020-07-01,682.4,568.9762499999999
2,Aleatório 10%,Média global,2021-07-01,775.8,568.9762499999999
2,Aleatório 10%,Média global,2021-09-01,694.7,568.9762499999999
2,Aleatório 10%,Média global,2022-03-01,694.4,568.9762499999999
2,Aleatório 10%,Média global,2022-07-01,832.4,568.9762499999999
2,Aleatório 10%,Linear,2015-08-01,512.4,479.85
2,Aleatório 10%,Linear,2016-08-01,563.1,524.4
2,Aleatório 10%,Linear,2018-08-01,652.1,611.3
2,Aleatório 10%,Linear,2020-07-01,682.4,682.2
2,Aleatório 10%,Linear,2021-07-01,775.8,732.0
2,Aleatório 10%,Linear,2021-09-01,694.7,710.5
2,Aleatório 10%,Linear,2022-03-01,694.4,629.85
2,Aleatório 10%,Linear,2022-07-01,832.4,798.55
2,Aleatório 10%,PCHIP,2015-08-01,512.4,482.45327533265095
2,Aleatório 10%,PCHIP,2016-08-01,563.1,527.1776548672566
2,Aleatório 10%,PCHIP,2018-08-01,652.1,618.8153414970681
2,Aleatório 10%,PCHIP,2020-07-01,682.4,693.3017751479291
2,Aleatório 10%,PCHIP,2021-07-01,775.8,739.4704885810557
2,Aleatório 10%,PCHIP,2021-09-01,694.7,710.5
2,Aleatório 10%,PCHIP,2022-03-01,694.4,626.9323334294779
2,Aleatório 10%,PCHIP,2022-07-01,832.4,814.2992984409799
2,Aleatório 10%,Harmônica log,2015-08-01,512.4,540.1228195395689
2,Aleatório 10%,Harmônica log,2016-08-01,563.1,573.802715404142
2,Aleatório 10%,Harmônica log,2018-08-01,652.1,647.5938939260043
2,Aleatório 10%,Harmônica log,2020-07-01,682.4,711.1267135312607
2,Aleatório 10%,Harmônica log,2021-07-01,775.8,755.4697273640498
2,Aleatório 10%,Harmônica log,2021-09-01,694.7,684.4510289351108
2,Aleatório 10%,Harmônica log,2022-03-01,694.4,628.164405287305
2,Aleatório 10%,Harmônica log,2022-07-01,832.4,802.5777939481445
2,Aleatório 10%,Harmônica + resíduo,2015-08-01,512.4,517.5056322771767
2,Aleatório 10%,Harmônica + resíduo,2016-08-01,563.1,565.4320072540728
2,Aleatório 10%,Harmônica + resíduo,2018-08-01,652.1,658.8496779366654
2,Aleatório 10%,Harmônica + resíduo,2020-07-01,682.4,710.7102626258344
2,Aleatório 10%,Harmônica + resíduo,2021-07-01,775.8,763.8355397747407
2,Aleatório 10%,Harmônica + resíduo,2021-09-01,694.7,692.0485850382194
2,Aleatório 10%,Harmônica + resíduo,2022-03-01,694.4,614.322433317411
2,Aleatório 10%,Harmônica + resíduo,2022-07-01,832.4,832.050955431832
2,Aleatório 20%,Média global,2015-08-01,512.4,574.4722222222222
2,Aleatório 20%,Média global,2015-09-01,456.3,574.4722222222222
2,Aleatório 20%,Média global,2015-11-01,465.8,574.4722222222222
2,Aleatório 20%,Média global,2017-06-01,524.4,574.4722222222222
2,Aleatório 20%,Média global,2017-07-01,607.2,574.4722222222222
2,Aleatório 20%,Média global,2017-10-01,513.0,574.4722222222222
2,Aleatório 20%,Média global,2018-10-01,548.1,574.4722222222222
2,Aleatório 20%,Média global,2020-04-01,557.2,574.4722222222222
2,Aleatório 20%,Média global,2020-06-01,635.0,574.4722222222222
2,Aleatório 20%,Média global,2020-09-01,645.4,574.4722222222222
2,Aleatório 20%,Média global,2020-10-01,617.2,574.4722222222222
2,Aleatório 20%,Média global,2021-05-01,672.4,574.4722222222222
2,Aleatório 20%,Média global,2021-10-01,660.3,574.4722222222222
2,Aleatório 20%,Média global,2022-03-01,694.4,574.4722222222222
2,Aleatório 20%,Média global,2022-06-01,745.1,574.4722222222222
2,Aleatório 20%,Média global,2022-09-01,709.2,574.4722222222222
