Repetição,Cenário,Método,N apagado,MAE,RMSE,MAPE (%)
4,Aleatório 20%,Média global,16,110.42173913043479,133.9875028911349,19.65808878747572
4,Aleatório 20%,Linear,16,37.828124999999986,48.215040767897314,7.0753871365075796
4,Aleatório 20%,PCHIP,16,38.53386448279637,47.525559701633725,7.253076790868509
4,Aleatório 20%,Harmônica log,16,19.548543706205415,24.950958965093967,3.749218692679526
4,Aleatório 20%,Harmônica + resíduo,16,29.267851213349058,37.00199614227528,5.667527200682845
4,Bloco 3 meses,Média global,3,170.37261904761905,174.88168822578504,42.4049910011102
4,Bloco 3 meses,Linear,3,41.433333333333316,57.21447951931981,11.051906825007878
4,Bloco 3 meses,PCHIP,3,41.433333333333316,57.21447951931981,11.051906825007878
4,Bloco 3 meses,Harmônica log,3,25.685987969967737,30.784041900606102,6.513729188634605
4,Bloco 3 meses,Harmônica + resíduo,3,27.808968382559897,32.98045652705624,7.172003850331464
4,Bloco 6 meses,Média global,6,40.20406504065039,48.91779613599022,6.708817673561156
4,Bloco 6 meses,Linear,6,50.059523809523775,64.79030093492463,8.053675536626086
4,Bloco 6 meses,PCHIP,6,50.253123748694826,65.16039878946363,8.086008916955072
4,Bloco 6 meses,Harmônica log,6,11.291414667220883,12.523223639067943,1.9198415452659077
4,Bloco 6 meses,Harmônica + resíduo,6,23.932824527588707,26.390437717881554,4.218700427907049
5,Aleatório 10%,Média global,8,115.02628205128207,133.305551056481,21.978695353048057
5,Aleatório 10%,Linear,8,39.64229166666666,54.575443466030464,8.434470430824579
5,Aleatório 10%,PCHIP,8,37.98822539417919,52.44893605336597,8.124551900722803
5,Aleatório 10%,Harmônica log,8,35.816590541139085,50.382037573826494,7.6264710740486965
5,Aleatório 10%,Harmônica + resíduo,8,40.48260530758468,48.02142723707293,8.399524647313447
5,Aleatório 20%,Média global,16,100.73785714285717,117.10847183491981,17.576754825641178
5,Aleatório 20%,Linear,16,41.96052083333332,50.91506227866443,7.66912502494552
5,Aleatório 20%,PCHIP,16,39.652427515942975,49.11584710138098,7.299931962011362
5,Aleatório 20%,Harmônica log,16,24.630124014651706,36.55310409868073,4.6761989346230495
5,Aleatório 20%,Harmônica + resíduo,16,30.301645047900745,39.82059591700983,5.534255867403027
5,Bloco 3 meses,Média global,3,83.99450980392163,84.32587522674545,16.90731386555998
5,Bloco 3 meses,Linear,3,35.01333333333338,39.31677504577407,7.082572085741782
5,Bloco 3 meses,PCHIP,3,48.361264407873534,51.41261095092782,9.767292976839666
5,Bloco 3 meses,Harmônica log,3,10.926148889888168,14.43466470263117,2.220792869600897
5,Bloco 3 meses,Harmônica + resíduo,3,16.057916316325095,20.86021222001527,3.2549708960257933
