data,Trabalho,Cópia tratada,MM3,MM6,MM12,MM centrada 2x12
2022-06-01,745.1,745.1,684.3000000000001,682.3333333333334,699.6178516699373,717.9845481086745
2022-07-01,832.4,832.4,749.6999999999999,700.5333333333333,704.334518336604,718.526244547412
2022-08-01,852.0,852.0,809.8333333333334,738.6166666666667,711.9428516699372,719.7359077088539
2022-09-01,709.2,709.2,797.8666666666667,741.0833333333334,713.1511850032706,724.1664042036292
2022-10-01,683.4,683.4,748.1999999999999,748.9499999999999,715.0761850032706,728.1830708702959
2022-11-01,682.8,682.8,691.7999999999998,750.8166666666666,715.9928516699373,732.5372375369625
2022-12-01,785.9149345689436,785.9149345689436,717.3716448563146,757.6191557614906,719.976244547412,735.8955708702958
2023-01-01,688.4,688.4,719.0383115229812,733.6191557614907,717.076244547412,739.4955708702959
2023-02-01,695.0,687.3319158746071,720.5489501478502,706.1744750739252,722.395570870296,743.2664042036292
2023-03-01,736.9,736.9,704.2106386248691,710.7911417405918,725.9372375369626,747.6830708702959
2023-04-01,690.1,690.1,704.7773052915358,711.9078084072585,730.4289042036293,753.1164042036293
2023-05-01,722.2,722.2,716.4,718.4744750739251,734.645570870296,758.8955708702958
2023-06-01,775.1,775.1,729.1333333333333,716.6719859791011,737.145570870296,764.3579174179818
2023-07-01,888.8,888.8,795.3666666666668,750.0719859791012,741.8455708702959,770.1045508410052
2023-08-01,886.1,886.1,850.0,783.1999999999999,744.6872375369626,774.7209502082123
2023-09-01,781.1,781.1,852.0,790.5666666666666,750.6789042036293,778.0988960334153
2023-10-01,741.9,741.9,803.0333333333333,799.1999999999999,755.5539042036293,782.6155627000819
2023-11-01,763.0,763.0,762.0,806.0,762.2372375369627,786.9488960334153
2023-12-01,836.8112517134059,836.8112517134059,780.570417237802,816.2852086189009,766.4785972990011,791.0447293667485
2024-01-01,775.4228850080989,775.4228850080989,791.7447122405016,797.3890227869174,773.7305043830094,795.0530627000819
2024-02-01,711.1026156794779,711.1026156794779,774.4455841336609,768.2227920668305,775.7113960334153,800.4530627000819
2024-03-01,794.2,794.2,760.2418335625256,770.4061254001639,780.4863960334152,806.503062700082
2024-04-01,741.2,741.2,748.8342052264926,770.2894587334971,784.7447293667486,810.6155627000819
2024-05-01,775.1,775.1,770.1666666666666,772.3061254001638,789.1530627000819,812.8738960334152
2024-06-01,820.5,820.5,778.9333333333334,769.5875834479294,792.9363960334152,816.044412400915
2024-07-01,939.6,939.6,845.0666666666667,796.9504359465797,797.1697293667486,
2024-08-01,964.9,964.9,908.3333333333334,839.25,803.7363960334152,
2024-09-01,847.5,847.5,917.3333333333334,848.1333333333333,809.2697293667485,
2024-10-01,774.2,774.2,862.2000000000002,853.6333333333333,811.9613960334151,
2024-11-01,784.9,784.9,802.1999999999999,855.2666666666668,813.7863960334153,
2024-12-01,891.0036445334006,891.0036445334006,816.7012148444669,867.0172740889001,818.3024287684148,
